"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee,Apogee,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Year of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
Aalto-1 ,Finland,Finland,University of Aalto,Civil,Technology Development,LEO,0,497,517,1.45E-03,97.45,94.7,5,6/23/2017,2017,2,University of Aalto,Finland,Satish Dhawan Space Centre,PSLV
AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,LEO,0,442,687,1.77E-02,98.2,95.9,1,4/25/2016,2016,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a
"ABS-2 (Koreasat-8, ST-3)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,75,35778,35793,1.78E-04,0.08,1436.03,6330,2/6/2014,2014,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
ABS-2A,NR (12/16),Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,-75,35700,35700,0.00E+00,0,1436.1,1800,6/15/2016,2016,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
"ABS-3 (Agila 2, Mabuhay 1)",Philippines,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,146.06,35769,35802,3.91E-04,0.05,1436.07,3775,8/19/1997,1997,15,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B
ABS-3A ,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,-3,35788,35803,1.78E-04,0.1,1436,2000,3/2/2015,2015,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,75,35780,35793,1.54E-04,0.01,1436.1,4143,3/13/2004,2004,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,159,35777,35794,2.02E-04,0.01,1436.08,2894,9/26/1999,1999,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton
"ABS-7 (Koreasat 3, Mugungwha 3)",South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,116.18,35780,35791,1.30E-04,0.01,1436.06,3500,9/4/1999,1999,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,-26,35560,36013,5.37E-03,7.72,1436.14,4500,5/9/1998,1998,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA
"Advanced Orion 3 (Mentor, NROL 19, USA 171)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,95.4,35589,35984,4.68E-03,3.2,1436.1,4500,9/9/2003,2003,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,44,35714,35937,2.64E-03,2.89,1438.8,5000,1/18/2009,2009,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,100.9,35500,35500,0.00E+00,0,1436,5000,11/21/2010,2010,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,60,35771,35805,4.03E-04,0,1436.1,5000,6/29/2012,2012,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,102.6,35613,35903,3.44E-03,7.51,1437.19,5000,6/11/2016,2016,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,USA,US Air Force,Military,Communications,GEO,-120,35772,35801,3.44E-04,2.34,1436.1,6169,5/3/2012,2012,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",NR,USA,US Air Force,Military,Communications,GEO,152.1,35700,35803,1.22E-03,4.2,1436.1,6169,9/18/2013,2013,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,LEO,0,480,790,2.21E-02,0.02,97.4,3,9/13/2012,2012,,University of Southern California,USA,Vandenberg AFB,Atlas 5
Aerocube 4.5A,USA,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,495,791,2.11E-02,64.6,97.5,5,9/13/2012,2012,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 4.5B,USA,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,499,792,2.09E-02,64.6,97.6,5,9/13/2012,2012,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 5A,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,443,886,3.15E-02,120.3,98,5,12/6/2013,2013,2,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 5B,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,443,886,3.15E-02,120.3,98,5,12/6/2013,2013,2,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,500,802,2.15E-02,64.78,97.74,2,10/8/2015,2015,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,614,700,6.12E-03,97.98,97.88,5,6/19/2014,2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr
Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,614,700,6.12E-03,97.98,97.88,5,6/19/2014,2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr
Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,500,802,2.15E-02,64.6,97.4,2,10/8/2015,2015,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,356,700,2.49E-02,55,95.19,5,5/20/2015,2015,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5
Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,356,700,2.49E-02,55,95.19,5,5/20/2015,2015,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5
Aerocube 8C,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,573,585,8.63E-04,98,96.23,2,11/11/2016,2016,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,572,584,8.64E-04,98,96.23,2,11/11/2016,2016,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
