Owner	Year of Launch	Sum
Algeria	2010	1
Algeria	2016	3
Algeria	2017	1
Argentina	2002	2
Argentina	2004	2
Argentina	2013	1
Argentina	2014	2
Argentina	2015	1
Argentina	2016	2
Argentina	2017	1
Argentina	2018	2
Australia	2003	1
Australia	2006	1
Australia	2007	1
Australia	2009	1
Australia	2014	1
Australia	2015	1
Australia	2016	1
Australia	2017	3
Austria	2013	1
Azerbaijan	2013	1
Bangladesh	2017	1
Belarus	2012	1
Belarus	2016	1
Belgium	2014	1
Belgium	2017	1
Bolivia	2013	1
Brazil	1993	1
Brazil	1995	1
Brazil	1998	2
Brazil	2000	1
Brazil	2007	1
Brazil	2008	1
Brazil	2012	1
Brazil	2015	1
Brazil	2016	1
Brazil	2017	2
Bulgaria	2017	1
Canada	2000	1
Canada	2002	1
Canada	2003	2
Canada	2004	1
Canada	2005	1
Canada	2007	2
Canada	2008	3
Canada	2009	2
Canada	2011	3
Canada	2012	2
Canada	2013	5
Canada	2014	4
Canada	2015	2
Canada	2016	3
Canada	2017	1
Canada	2018	1
Chile	2011	1
Chile	2017	1
China	1998	1
China	1999	1
China	2003	2
China	2004	4
China	2005	3
China	2006	3
China	2007	1
China	2008	10
China	2009	6
China	2010	19
China	2011	15
China	2012	22
China	2013	14
China	2014	21
China	2015	44
China	2016	19
China	2017	31
China	2018	32
China/Brazil	2014	1
China/Italy	2018	1
Czech Republic	2017	1
Denmark	2013	1
Denmark	2016	1
Denmark	2018	2
Egypt	2000	1
Egypt	2010	1
ESA	1999	1
ESA	2000	4
ESA	2001	1
ESA	2009	2
ESA	2010	1
ESA	2011	2
ESA	2012	2
ESA	2013	4
ESA	2014	3
ESA	2015	7
ESA	2016	9
ESA	2017	6
ESA	2018	1
ESA/USA	1990	1
ESA/USA/Russia	2002	1
Finland	2017	1
Finland	2018	1
France	2005	1
France	2006	1
France	2009	2
France	2011	4
France	2012	1
France	2017	3
France	2018	1
France/Belgium/Sweden	2012	1
France/Belgium/Sweden	2014	1
France/Israel	2017	1
France/Italy	2011	1
France/Italy	2014	1
France/Italy	2015	1
France/Italy/Belgium/Spain/Greece	2004	1
France/Italy/Belgium/Spain/Greece	2009	1
France/USA	2006	1
Germany	1999	1
Germany	2001	1
Germany	2006	1
Germany	2007	3
Germany	2008	7
Germany	2009	2
Germany	2010	2
Germany	2012	1
Germany	2013	2
Germany	2014	1
Germany	2016	1
Germany	2017	3
Germany	2018	4
Greece	2003	1
Greece/United Kingdom	2017	1
India	2002	1
India	2003	2
India	2005	2
India	2007	3
India	2008	1
India	2009	1
India	2010	1
India	2011	5
India	2012	2
India	2013	3
India	2014	4
India	2015	4
India	2016	11
India	2017	8
India	2018	4
India/Canada	2011	1
India/France	2011	1
India/France	2013	1
Indonesia	1996	1
Indonesia	2005	1
Indonesia	2007	1
Indonesia	2009	1
Indonesia	2015	1
Indonesia	2016	2
Indonesia	2017	1
Iran	2005	1
Iraq	2014	1
Israel	2002	1
Israel	2006	1
Israel	2007	1
Israel	2008	2
Israel	2010	1
Israel	2013	1
Israel	2014	2
