Launch Vehicle,"用于“Name of Satellite, Alternate Names”的 COUNTA"
Antares 230,4
Ariane,1
Ariane 4,5
Ariane 42L,3
Ariane 42P,2
Ariane 44L,18
Ariane 44LP,9
Ariane 5,77
Ariane 5 ECA,70
Ariane 5G,12
Athena 1,1
Atlas,2
Atlas  5,2
Atlas 2,6
Atlas 2A,10
Atlas 2AS,10
Atlas 3,2
Atlas 3A,1
Atlas 3B,4
Atlas 5,104
Atlas 5 ECA,1
Atlas Centaur,1
Breeze KM,2
Breeze M,7
Chang Zheng 4B,1
CZ-3B,1
CZ-4B,1
Delta,1
Delta 2,59
Delta 2 7920,30
Delta 2310,1
Delta 4,23
Delta 4 Heavy,6
Delta 4M,3
Delta 4M+,2
Delta 7000,1
Delta 7320,1
Delta 7420,4
Delta 7920,1
Dnepr,75
Dnepr ,1
Dnepr 1,9
Dnepr 1 ,1
Dnepr LV,2
Electron,3
Epsilon,3
Falcon 9,97
GSLV,3
GSLV D2,1
GSLV F04,1
GSLV Mk.2,1
GSLV MK.3,1
H2A,38
J-SSOD Deployer,1
JAXA M-V,1
Kosmos 3M,18
KT-2,1
Kuaizhou,3
L1011,1
Long March 11,15
Long March 2C,41
Long March 2D,50
Long March 2E,1
Long March 3,1
Long March 3A,11
Long March 3B,44
Long March 3C,11
Long March 4B,29
Long March 4C,35
Long March 5,1
Long March 6,23
Long March CZ3B,2
Manual Deployment,4
Minotaur,5
Minotaur 1,1
Minotaur 4,10
Minotaur C,6
Minotaur-C,4
Nanorack Deployer,54
Naro-1,1
Pegasus,23
Pegasus XL,18
Proton,21
Proton D,2
Proton DM,1
Proton K,38
Proton M,72
Proton M/Breeze M,1
Proton/Breeze M,2
Proton/M,1
PSLV,178
PSLV C-30,7
PSLV C10,1
PSLV C12,1
PSLV C16,3
PSLV C17,1
PSLV C2,1
PSLV C29,1
PSLV C3,2
PSLV C5,1
PSLV C6,1
PSLV C7,2
PSLV C9,4
PSLV XL,29
PSLV-C27,1
PSLV-C29,5
PSLV-CA,5
PSLV-XL,11
Rokot,45
Rokot/BrizKM,2
Shavit,5
Soyuz,8
Soyuz 2,3
"Soyuz 2,1v",1
Soyuz 2.1,1
Soyuz 2.1a,95
Soyuz 2.1a/Fregat,6
Soyuz 2.1b,15
Soyuz 2.1v,2
Soyuz 2/Fregat,6
Soyuz STA/Fregat,1
Soyuz U,8
Soyuz-2.1b,12
Soyuz-Fregat,20
Soyuz-Fregat ,3
Soyuz-Fregat (Soyuz 2),1
Soyuz-ST,14
Soyuz-ST-B,8
Soyuz.2.1a/Fregat,6
Space Shuttle (STS 26),1
Space Shuttle (STS 31),1
Space Shuttle (STS 43),1
Space Shuttle (STS 54),1
Space Shuttle (STS 70),1
Space Shuttle (STS 93),1
SS-520-5,1
Start 1,2
Strela,2
Taurus,2
Titan 2,5
Titan 4A,2
Titan 4B,6
Titan IV,5
Titan IVA,4
Titan IVB,2
Tsyklon 3,2
Vega,14
Zenit,5
Zenit 2M,1
Zenit 2SB,1
Zenit 3,1
Zenit 3SL,26
Zenit 3SLB,4
Zenit 3SLBF/Fregat SB,1
总计,1886
